name,address,price,foot,footprice,district,"tag"
橋裕大廈低層A室,和富道96-112號,750,544,13786,北角,"分層單位
大廈"
光超台A座低層1室,炮台山道4號,758,550,13781,北角,"分層單位
大廈
有寵屋苑"
東寶大廈低層H室,英皇道483-497號,468,342,13684,北角,"分層單位
大廈
有寵屋苑"
楓林花園2期低層A室,建華街39號,830,608,13647,北角,"分層單位大廈"
城市花園1期2座高層E室,電氣道233號,1100,807,13630,北角,"分層單位
大廈"
昌輝閣中層C室,七姊妹道5-13號,850,624,13621,北角,"分層單位
大廈"
福華洋樓中層17號,建華街17-19號,750,554,13537,北角,"分層單位
大廈"
北角中心大廈B座高層1室,英皇道278-288號,1080,798,13533,北角,"分層單位
大廈"
堡壘街高層前座,堡壘街,1650,1221,13513,北角,"分層單位
大廈"
百福花園鴻福閣低層C室,天后廟道169號,738,547,13491,北角,"分層單位
大廈"
威明閣中層B室,建華街25號,680,505,13465,北角,"分層單位
大廈"
嘉信大廈A座中層5室,英皇道117-121號,653,485,13463,北角,"分層單位
大廈"
北角中心大廈A座高層4室,英皇道278-288號,650,485,13402,北角,"分層單位
大廈"
恆隆銀行東區分行大廈高層B室,英皇道391號,646,485,13319,北角,"分層單位
大廈"
嘉蘭大廈低層B室,七姊妹道25-31號,550,417,13189,北角,"分層單位
大廈"
楓林花園2期高層D室,建華街39號,760,580,13103,北角,"分層單位
大廈"
寶翠洋樓中層C室,堡壘街28-34號,870,668,13023,北角,"分層單位
大廈"
福華洋樓中層17號,建華街17-19號,720,554,12996,北角,"分層單位
大廈"
公主大廈高層4室,英皇道165-175號,1370,1061,12912,北角,"分層單位
大廈"
百福花園安福閣高層F室,天后廟道155號,750,581,12908,北角,"分層單位
大廈"
百福花園百利閣低層AB室,天后廟道171號,1490,1160,12844,北角,"分層單位
大廈"
百福花園景福閣中層GH室,天后廟道173號,1488,1160,12827,北角,"分層單位
大廈"
利都樓高層M室,英皇道177-191A號,539,425,12682,北角,"分層單位
大廈"
和富中心17座低層B室,和富道53號,1600,1267,12628,北角,"分層單位
大廈
有寵屋苑"
華凱大廈A座高層3室,電氣道242-290號,850,674,12611,北角,"分層單位
大廈"
寶石樓高層624號,英皇道614-628號,1500,1195,12552,北角,"分層單位
大廈"
僑輝大廈中層4室,英皇道413-423號,890,716,12430,北角,"分層單位
大廈"
昌明洋樓B座低層B5室,七姊妹道15-23A號,748,603,12404,北角,"分層單位
大廈"
百福花園鴻福閣高層H室,天后廟道169號,740,597,12395,北角,"分層單位
大廈"
嘉華洋樓低層B室(31號),堡壘街29-31號,820,663,12368,北角,"分層單位
大廈"
仁德大廈高層C室,春秧街93-113號,428,350,12228,北角,"分層單位
大廈
有寵屋苑"
北角中心大廈B座中層3室,英皇道278-288號,798,653,12220,北角,"分層單位
大廈"
新都城大廈高層6室,英皇道416-438號,650,532,12218,北角,"分層單位
大廈
有寵屋苑"
百福花園鴻福閣高層F室,天后廟道169號,650,538,12081,北角,"分層單位
大廈"
百福花園德福閣低層F室,天后廟道157號,484,401,12069,北角,"分層單位
大廈"
北角中心大廈B座中層2室,英皇道278-288號,788,653,12067,北角,"分層單位
大廈"
嘉華洋樓高層A室(29號),堡壘街29-31號,800,663,12066,北角,"分層單位
大廈"
百福花園百喜閣低層B室,天后廟道159號,655,543,12062,北角,"分層單位
大廈"
百福花園家福閣低層C室,天后廟道151號,760,633,12006,北角,"分層單位
大廈"
百福花園景福閣低層AB室,天后廟道173號,1380,1160,11896,北角,"分層單位
大廈
車位"
康福園B座低層A室,英皇道58號,1180,992,11895,北角,"分層單位
大廈"
明園大廈第二期中層56號,孔雀道26-72號,730,614,11889,北角,"分層單位
大廈"
五洲大廈高層D室,英皇道290-304號,738,622,11864,北角,"分層單位
大廈
有寵屋苑"
