學校英文名稱,學校中文名稱,就讀學生性別,學校級別,資助種類,學校地址,學校所在分區,學校授課時間
MING WAI INTERNATIONAL KINDERGARTEN,明慧國際幼稚園,男女,幼稚園,私立,香港北角七姊妹道１０－１２號雅利閣 地下及１樓，Ａ及Ｂ室,東區,下午
MING WAI INTERNATIONAL KINDERGARTEN,明慧國際幼稚園,男女,幼稚園,私立,香港北角七姊妹道１０－１２號雅利閣 地下及１樓，Ａ及Ｂ室,東區,上午
MING WAI INTERNATIONAL KG (NORTH POINT),明慧國際幼稚園（北角分校）,男女,幼稚園,私立,香港北角七姊妹道５－１３號昌輝閣 地下１號舖及１樓,東區,全日
MING WAI INTERNATIONAL KG (NORTH POINT),明慧國際幼稚園（北角分校）,男女,幼稚園,私立,香港北角七姊妹道５－１３號昌輝閣 地下１號舖及１樓,東區,下午
MING WAI INTERNATIONAL KG (NORTH POINT),明慧國際幼稚園（北角分校）,男女,幼稚園,私立,香港北角七姊妹道５－１３號昌輝閣 地下１號舖及１樓,東區,上午
MAGART INTERNATIONAL KG (KORNHILL),瑪歌瑞特國際幼稚園（康怡）,男女,幼稚園,私立,香港鰂魚涌康盛街１６號康怡花園,東區,下午
MAGART INTERNATIONAL KG (KORNHILL),瑪歌瑞特國際幼稚園（康怡）,男女,幼稚園,私立,香港鰂魚涌康盛街１６號康怡花園,東區,上午
LYC'EE FRANCAIS INTL (FRENCH INTL SCH),,男女,幼稚園,私立,,東區,全日
LUTHERAN PHILIP HSE HING MAN NURSERY SCH,粵南信義會腓力堂興民幼兒學園,男女,幼稚園,私立,香港柴灣興民邨 社區中心第３層,東區,全日
LUTHERAN PHILIP HSE HING MAN NURSERY SCH,粵南信義會腓力堂興民幼兒學園,男女,幼稚園,私立,香港柴灣興民邨 社區中心第３層,東區,上午
LINGNAN NO.2 KINDERGARTEN (SIU SAI WAN),嶺南幼稚園（小西灣）二校,男女,幼稚園,私立,香港小西灣道２３號富怡花園幼稚園大樓地下１０４、１０５室,東區,全日
LINGNAN NO.2 KINDERGARTEN (SIU SAI WAN),嶺南幼稚園（小西灣）二校,男女,幼稚園,私立,香港小西灣道２３號富怡花園幼稚園大樓地下１０４、１０５室,東區,下午
LINGNAN NO.2 KINDERGARTEN (SIU SAI WAN),嶺南幼稚園（小西灣）二校,男女,幼稚園,私立,香港小西灣道２３號富怡花園幼稚園大樓地下１０４、１０５室,東區,上午
LINGNAN KINDERGARTEN (SIU SAI WAN),嶺南幼稚園（小西灣）,男女,幼稚園,私立,香港小西灣道２３號富怡花園幼稚園大樓 １樓,東區,全日
LINGNAN KINDERGARTEN (SIU SAI WAN),嶺南幼稚園（小西灣）,男女,幼稚園,私立,香港小西灣道２３號富怡花園幼稚園大樓 １樓,東區,下午
LINGNAN KINDERGARTEN (SIU SAI WAN),嶺南幼稚園（小西灣）,男女,幼稚園,私立,香港小西灣道２３號富怡花園幼稚園大樓 １樓,東區,上午
LEARNING HABITAT KG (NOVUM EAST),學之園幼稚園（君豪峰）,男女,幼稚園,私立,香港英皇道８５６號君豪峰 商業發展項目１樓,東區,下午
LEARNING HABITAT KG (NOVUM EAST),學之園幼稚園（君豪峰）,男女,幼稚園,私立,香港英皇道８５６號君豪峰 商業發展項目１樓,東區,上午
KORNHILL VICTORIA KINDERGARTEN,康怡維多利亞幼稚園,男女,幼稚園,私立,香港鰂魚涌康安街１８號康怡花園 ２樓部份,東區,全日
KORNHILL VICTORIA KINDERGARTEN,康怡維多利亞幼稚園,男女,幼稚園,私立,香港鰂魚涌康安街１８號康怡花園 ２樓部份,東區,下午
KORNHILL VICTORIA KINDERGARTEN,康怡維多利亞幼稚園,男女,幼稚園,私立,香港鰂魚涌康安街１８號康怡花園 ２樓部份,東區,上午
